,file_names,weights,days,cow_ids,time_of_day
0,1.png,1879.81005859375,1,5327,PM
1,2.png,1879.81005859375,1,5327,PM
2,3.png,1879.81005859375,1,5327,PM
3,4.png,1879.81005859375,1,5327,PM
4,5.png,1879.81005859375,1,5327,PM
5,6.png,1879.81005859375,1,5327,PM
6,7.png,1879.81005859375,1,5327,PM
7,8.png,1879.81005859375,1,5327,PM
8,9.png,1879.81005859375,1,5327,PM
9,10.png,1879.81005859375,1,5327,PM
10,11.png,1879.81005859375,1,5327,PM
11,12.png,1879.81005859375,1,5327,PM
12,13.png,1879.81005859375,1,5327,PM
13,14.png,1879.81005859375,1,5327,PM
14,15.png,1879.81005859375,1,5327,PM
15,16.png,1879.81005859375,1,5327,PM
16,17.png,1879.81005859375,1,5327,PM
17,18.png,1879.81005859375,1,5327,PM
18,19.png,1879.81005859375,1,5327,PM
19,20.png,1879.81005859375,1,5327,PM
20,21.png,1879.81005859375,1,5327,PM
21,22.png,1879.81005859375,1,5327,PM
22,23.png,1879.81005859375,1,5327,PM
23,24.png,1879.81005859375,1,5327,PM
24,25.png,1879.81005859375,1,5327,PM
25,26.png,1879.81005859375,1,5327,PM
26,27.png,1879.81005859375,1,5327,PM
27,28.png,1879.81005859375,1,5327,PM
28,29.png,1879.81005859375,1,5327,PM
29,30.png,1879.81005859375,1,5327,PM
30,31.png,1879.81005859375,1,5327,PM
31,32.png,1879.81005859375,1,5327,PM
32,33.png,1879.81005859375,1,5327,PM
33,34.png,1879.81005859375,1,5327,PM
34,35.png,1879.81005859375,1,5327,PM
35,36.png,1879.81005859375,1,5327,PM
36,37.png,1879.81005859375,1,5327,PM
37,38.png,1879.81005859375,1,5327,PM
38,39.png,1879.81005859375,1,5327,PM
39,40.png,1879.81005859375,1,5327,PM
40,41.png,1879.81005859375,1,5327,PM
41,42.png,1879.81005859375,1,5327,PM
42,43.png,1879.81005859375,1,5327,PM
43,44.png,1879.81005859375,1,5327,PM
44,45.png,1879.81005859375,1,5327,PM
45,46.png,1879.81005859375,1,5327,PM
46,47.png,1879.81005859375,1,5327,PM
47,48.png,1879.81005859375,1,5327,PM
48,49.png,1879.81005859375,1,5327,PM
49,50.png,1879.81005859375,1,5327,PM
50,51.png,1879.81005859375,1,5327,PM
51,52.png,1879.81005859375,1,5327,PM
52,53.png,1879.81005859375,1,5327,PM
53,54.png,1879.81005859375,1,5327,PM
54,55.png,1879.81005859375,1,5327,PM
55,56.png,1879.81005859375,1,5327,PM
56,57.png,1879.81005859375,1,5327,PM
57,58.png,1879.81005859375,1,5327,PM
58,59.png,1879.81005859375,1,5327,PM
59,60.png,1879.81005859375,1,5327,PM
60,61.png,1879.81005859375,1,5327,PM
61,62.png,1879.81005859375,1,5327,PM
62,63.png,1879.81005859375,1,5327,PM
63,64.png,1879.81005859375,1,5327,PM
64,65.png,1879.81005859375,1,5327,PM
65,66.png,1879.81005859375,1,5327,PM
66,67.png,1879.81005859375,1,5327,PM
67,68.png,1879.81005859375,1,5327,PM
68,69.png,1879.81005859375,1,5327,PM
69,70.png,1879.81005859375,1,5327,PM
70,71.png,1879.81005859375,1,5327,PM
71,72.png,1879.81005859375,1,5327,PM
72,73.png,1879.81005859375,1,5327,PM
73,74.png,1879.81005859375,1,5327,PM
74,75.png,1879.81005859375,1,5327,PM
75,76.png,1879.81005859375,1,5327,PM
76,77.png,1879.81005859375,1,5327,PM
77,78.png,1879.81005859375,1,5327,PM
78,79.png,1879.81005859375,1,5327,PM
79,80.png,1879.81005859375,1,5327,PM
80,81.png,1879.81005859375,1,5327,PM
81,82.png,1879.81005859375,1,5327,PM
